question,answer
"Question: True about V. Cholerae is -
Choices:
A. One attack of V. Cholerae gives live-long immunity
B. Affects adults and children with equal propensity in non epidemic regions
C. Affects adults and children with equal propensity in non epidemic regions
D. Pathogencity of 0-139 vibrio is due to 0 antigen
Answer:",Pathogencity of 0-139 vibrio is due to 0 antigen
"Question: Cholera transmission by -a) Food transmitsb) Vaccination gives 90% efficiencyc) Healthy carrierd) Chlorination is not effective
Choices:
A. a
B. bc
C. ac
D. b
Answer:",ac
"Question: No chemoprophylaxis for - a)  Typhoidb)  Chicken poxc)  Influenzad)  Cholera
Choices:
A. b
B. ab
C. ab
D. bd
Answer:",ab
"Question: Post exposure active immunization can be done fora)  Rabiesb)  Measlesc)  Cholerad)  Yellow fever
Choices:
A. da
B. ab
C. da
D. ac
Answer:",ab
"Question: Cholera toxin effects are mediated by stimulation of which of the following second messengers -
Choices:
A. cAMP
B. cGMP
C. Ca++ - Calmodulin
D. IP3 / DAG
Answer:",cAMP
"Question: ""Cholera"" is caused by:
Choices:
A. Vibriocholera .01
B. Vibriocholera .001
C. Vibrio parahemolyticus
D. Vibriocholera .0001
Answer:",Vibriocholera .01
"Question: Cholera like diarrhea is associated with?
Choices:
A. Copper poisoning
B. Arsenic poisoning
C. Lead poisoning
D. Mercury poisoning
Answer:",Arsenic poisoning
"Question: Cholera vaccine effectiveness is -
Choices:
A. 20% for 12 months
B. 50% for 12 months
C. 20% for 36 months
D. 50% for 36 months
Answer:",50% for 12 months
"Question: Cholera toxin effects are mediated by stimulation of which of the following second messengers
Choices:
A. cAMP
B. cGMP
C. Ca44 -calmodulim
D. IP3/ DAG
Answer:",cAMP
"Question: Pandemic are caused by -a)  Hepatitis Bb)  Influenza-Ac)  Influenza-Bd)  Influenza-Ce) Cholera
Choices:
A. bd
B. be
C. bcd
D. da
Answer:",be
"Question: Hemolytic uremic syndrome is caused by -a) EIECb) Shigella c) Salmonellad) Cholerae) Klebsiella
Choices:
A. a
B. bc
C. ac
D. ad
Answer:",bc
"Question: Cholera toxin –
Choices:
A. increase the levels of intracellular cyclic GMP
B. Act through opiate receptor
C. causes continued activation of adenyl cyclase
D. inhibit the enzyme phosphodiesterase
Answer:",causes continued activation of adenyl cyclase
"Question: Which of the following is not a Cholera vaccine?
Choices:
A. Ty21a
B. CVD-103-HgR
C. WC-rBS
D. mORC-Vax
Answer:",Ty21a
"Question: Cholera toxin binds to which receptors in intestine-
Choices:
A. Sphingosine through A subunit
B. Sphingosine through B subumit
C. GM1 gangliosides through A subunit
D. GM1 gangliosides through B subunit
Answer:",GM1 gangliosides through B subunit
"Question: Cholera transmission by -
Choices:
A. Food transmits
B. Vaccination gives 90% efficiency
C. Healthy carrier
D. Chlorination is nor effective
Answer:",Food transmits
"Question: Cholera patient having stool output 1000-1500 mL/day is known as:
Choices:
A. Cholera mitis
B. Cholera dumdum
C. Cholera magna
D. Cholera gravis
Answer:",Cholera gravis
"Question: Cholera presents with symptoms mimicking: TN 10
Choices:
A. Arsenic poisoning
B. Dhatura poisoning
C. Barbiturate poisoning
D. Morphine poisoning
Answer:",Arsenic poisoning
"Question: Cholera toxin -
Choices:
A. Increases the levels of intracellular cylic GMP
B. Acts through the receptor the opiates
C. Causes continued activation of adenylate cyclase
D. Inhibits the enzyme phosphodiesterase
Answer:",Causes continued activation of adenylate cyclase
"Question: Cholera toxin acts by -
Choices:
A. Na ATPase inhibition
B. Adenylate cyclase stimulation
C. Opening of chloride channel
D. Stimulation of Ca' channel
Answer:",Adenylate cyclase stimulation
"Question: Cholera is caused by-
Choices:
A. V.cholerae O1
B. V.cholerae O1 and O139
C. V. cholerae O139
D. NAG vibrios
Answer:",V.cholerae O1 and O139
"Question: Cholera prophylaxis is by -
Choices:
A. Doxycycline 300mg OD
B. Cephalosporin
C. Streptomycin
D. Cotrimoxazole
Answer:",Doxycycline 300mg OD
"Question: Cholera toxin-
Choices:
A. Increases the levels of intracellular cylic GMP
B. Acts through the receptor the opiates
C. Causes continued activation of adenylate cyclase
D. Inhibits the enzyme phosphodiesterase
Answer:",Causes continued activation of adenylate cyclase
"Question: Which of the following diseases have incubation period < 10 days -a)  Cholerab)  Influenzac)  Plagued)  Measlese) Rubella
Choices:
A. ab
B. bc
C. abc
D. bcd
Answer:",abc
"Question: Superantigens area) Erythrotoxin of Staph. aureusb) Clostridium difficile toxinc) Staphyloccocal toxic shock syndrome toxind) Cholera toxin
Choices:
A. a
B. bc
C. ad
D. ac
Answer:",ac
"Question: Giant cells seen in -a)  Osteoclastomab)  Chondroblastomac)  Chordomad)  Osteitis fibrosa cystica
Choices:
A. ac
B. ab
C. ad
D. bc
Answer:",ab
"Question: Chordoma can occur over all the following sites, except -
Choices:
A. Rib
B. Clivus
C. Sacrum
D. Vertebral body
Answer:",Rib
"Question: Chordoma commonly involves -a) Dorsal spineb) Clivusc) Lumbar spined) Sacrume) Cervical spine
Choices:
A. bd
B. d
C. ab
D. ac
Answer:",bd
"Question: All of the following are true about Chronic Lymphocytic Leukemia, Except:
Choices:
A. Diagnosed on routine blood tests
B. Leukocytosis is prominent
C. Can present as acute leukemia
D. T lymphocyte CLL is more common
Answer:",T lymphocyte CLL is more common
"Question: Which of the following is more frequently seen in Churg Strauss Syndrome in comparison to Wegener's Granulomatosis
Choices:
A. Renal involvement
B. Lower Respiratory Tract involvement
C. Eye involvement
D. Upper Respiratory Tract involvement
Answer:",Lower Respiratory Tract involvement
"Question: All of the following statements about Churg Strauss Syndrome are true, except:
Choices:
A. Marked Eosinophilia
B. Mononeuritis multiplex is common
C. Renal failure is common
D. Often associated with Allergic Rhinitis
Answer:",Renal failure is common
"Question: False statement regarding Complex Regional Pain Syndrome (CRPS) is?
Choices:
A. Type 1 CRPS occurs following a nerve injury
B. Type 1 CRPS is also called as Reflex Sympathetic Dystrophy
C. It occurs due to adrenergic sensitivity of afferent nociceptors
D. CRPS Type 1 resolves with symptomatic treatment
Answer:",Type 1 CRPS occurs following a nerve injury
"Question: Congenital Adrenal Hyperplasia is due to deficiency of:
Choices:
A. 21 beta hydroxylase
B. 17 alpha hydroxylase
C. 5 alpha reductase
D. 17 beta reductase
Answer:",21 beta hydroxylase
"Question: A pregnant mother presents with history of delivery of a previous child with Congenital Adrenal Hyperplasia (CAH). The best management protocol for the current pregnancy is:
Choices:
A. To sta prednisolone after establishing whether fetus is affected by Chorionic Villous Sampling
B. To sta dexamethasone as soon as pregnancy is confirmed
C. To sta dexamethasone after determining sex of the fetus by Karyotyping
D. To sta prednisolone after determining sex of the fetus with USG
Answer:",To sta dexamethasone as soon as pregnancy is confirmed
"Question: Which condition is associated with Congenital Adrenal Hyperplasia?
Choices:
A. Male pseudohermaphroditism
B. Female pseudohermaphroditism
C. Female true hermaphroditism
D. Sequential pseudohermaphroditism
Answer:",Female pseudohermaphroditism
"Question: All are true regarding Congenital Syphilis except:
Choices:
A. Procaine Penicillin can prevent it satisfactorily
B. Infection of the fetus most commonly occurs in 1st trimester
C. Neurological damage with mental retardation can be a serious consequence
D. If mother has late syphilis, chances of transmission decreases
Answer:",Infection of the fetus most commonly occurs in 1st trimester
"Question: All the following are true of Craniopharyngioma except -
Choices:
A. Derived from Rathke's pouch
B. Contains epithelial cells
C. Present in sella or infrasellar location
D. Causes visual disturbances
Answer:",Present in sella or infrasellar location
"Question: Third nerve palsy with pupillary sparing is seen in-a) Hypertensionb) Aneurysm of posterior communicating arteryc) Diabetes mellitusd) Craniopharyngioma
Choices:
A. a
B. bc
C. ad
D. ac
Answer:",ac
"Question: All are true about Craniopharyngioma except?
Choices:
A. Solid-cystic lesion
B. Commonly calcifies in adults
C. Admantinomatous type is common in children
D. Machine oily protein rich content
Answer:",Commonly calcifies in adults
"Question: Commonest location for Craniopharyngioma is
Choices:
A. Intrasellar
B. Suprasellar
C. Intraventricular
D. Intracerebral
Answer:",Suprasellar
"Question: A six year old child managed by complete surgical removal of Craniopharyngioma developed multiple endocrinopathies. Which of following hormones should be replaced first?
Choices:
A. Hydrocoisone
B. Growth hormone
C. Thyroxine
D. Prolactin
Answer:",Hydrocoisone
"Question: All are true regarding Craniopharyngioma except?
Choices:
A. Derived from Rathke's pouch
B. Contains epithelial cells
C. Present in temporal or parietal lobes
D. Causes visual disturbances
Answer:",Present in temporal or parietal lobes
"Question: A 7 yr old boy underwent neurosurgery for Craniopharyngioma following which pituitary functions were lost. Which of the following hormone should be replaced first?
Choices:
A. Hydrocoisone
B. Thyroxine
C. Growth hormone
D. Prolactin
Answer:",Hydrocoisone
"Question: All of the following are true for Craniopharyngioma except?
Choices:
A. Derived from Rathke's pouch
B. Can lead to central DI
C. Present in sellar or infrasellar location
D. Causes visual disturbances
Answer:",Present in sellar or infrasellar location
"Question: Craniopharyngioma arises from -
Choices:
A. Pituitary stalk
B. Posterior pituitary
C. Pineal gland
D. Cerebellum
Answer:",Pituitary stalk
"Question: All of the following statements regarding Craniopharyngiomas are true, except :
Choices:
A. Arise from Rathke's pouch
B. Can cause visual disturbances
C. Presents with hypopituitarism in adults
D. Usually Infrasellar in location
Answer:",Usually Infrasellar in location
"Question: True precocious puberty can occur in all, except –a) McCune Albright syndromeb) Craniopharyngiomac) Congenital adrenal hyperplasiad) Hypothalamic hamartoma
Choices:
A. a
B. bc
C. ac
D. b
Answer:",ac
"Question: All the following are true of Craniopharyngioma except
Choices:
A. Derived from Rathke's pouch
B. Contains epithelial cells
C. Present in sella or infra-sellar location
D. Causes visual disturbances
Answer:",Present in sella or infra-sellar location
"Question: Lung granuloma with necrosis are seen in -a)  PANb)  TBc)  Histoplasmosisd) Cryptococcosise)  Wegener's granulomatosis
Choices:
A. bce
B. bc
C. acd
D. ace
Answer:",bce
"Question: Most common presentation of Cryptococcosis is
Choices:
A. Meningitis
B. Pulmonary cryptococcosis
C. SKin lesions
D. Osteomyelitis
Answer:",Pulmonary cryptococcosis
"Question: Criteria included in AIDS surveillance definition include -a) Extrapulmonary TB b) Cryptococcosisc)  Candidiasisd)  Leptospirosis e)  Kaposi sarcoma
Choices:
A. bcde
B. abce
C. acde
D. abde
Answer:",abce
"Question: Primary site of infection in Cryptococcosis is
Choices:
A. Adrenal glands
B. Bone
C. Central nervous system
D. Lungs
Answer:",Lungs
"Question: The most common cause of pulmonary abscesses in Cystic Fibrosis is?
Choices:
A. Pseudomonas aeruginosa
B. Staphylococcus aureus
C. Burkholderia cenocepacia
D. Nontuberculous mycobacteria
Answer:",Pseudomonas aeruginosa
"Question: Cysticercosis cellulosae causes infection with
Choices:
A. Taenia saginata
B. Echinococcus granulosus
C. Taenia solium
D. Diphyllobothrium latum
Answer:",Taenia solium
"Question: Cerebral Cysticercosis
Choices:
A. Commonly manifests with localizing signs
B. May present with dementia
C. Rarely occurs in children
D. Usually presents with generalized seizures
Answer:",Commonly manifests with localizing signs
"Question: Cysticercosis is caused by larva of:
Choices:
A. Taenia solium
B. T. saginata
C. Echinococcus
D. Ascaris
Answer:",Taenia solium
"Question: Cysticercosis present as : a)  Seizuresb)  Neuropathyc)  Encephalitisd)  Muscular hypertrophy
Choices:
A. a
B. bc
C. ac
D. b
Answer:",ac
"Question: Cysticercosis present as  a) Seizure  b) Neuropathy  c) Encephalitis  d) Muscular hypertrophy
Choices:
A. abc
B. abd
C. bcd
D. bd
Answer:",abc
"Question: Cysticercosis is caused by:
Choices:
A. T. Solium
B. T. Saginata
C. A. duodenale
D. E. granulosus
Answer:",T. Solium
"Question: Which of the following is not true about Cystinosis?
Choices:
A. Cysteine stones in urine common
B. Corneal crystals
C. Fanconi syndrome
D. White blond hair and photophobia
Answer:",Cysteine stones in urine common
"Question: In Cystinuria, all of the following amino acids are excreted in urine, except:-
Choices:
A. Cystine
B. Ornithine
C. Leucine
D. Arginine
Answer:",Leucine
"Question: Cystinuria is associated with excretion of which amino acid in urine
Choices:
A. Cystine, lysine, Tyrosine and alanine
B. Cystine, lysine, ornithine and alanine
C. Cystine, ornithine, lysine and arginine
D. Cystine, ornithine, leucine and arginine
Answer:","Cystine, ornithine, lysine and arginine"
"Question: Cystinuria presents with excess of
Choices:
A. Cysteine
B. Tyrosine
C. Glutamine
D. Valine
Answer:",Cysteine
"Question: Cystinuria all of the following amino acids are excreted, except:
Choices:
A. Cystine
B. Ornithine
C. Leucine
D. Arginine
Answer:",Leucine
"Question: Cystinuria is characterised by –
Choices:
A. Generalised aminoaciduria
B. Systemic acidosis
C. Deposition of cystine crystals in Renal tubular cells
D. Recurrent urinary caliculi
Answer:",Recurrent urinary caliculi
"Question: The best way to manage Dermatitis Herpetiformis is ?
Choices:
A. Gluten free diet with minerals and vitamins
B. Dapsone
C. Acyclovir
D. Steroids
Answer:",Gluten free diet with minerals and vitamins
"Question: Which one of the following is the treatment of choice for Dermatitis Herpetiformis?
Choices:
A. Corticosteroids
B. Dapsone
C. Methotrexate
D. Retinoids
Answer:",Dapsone
"Question: Dermatomyositis test of choice -
Choices:
A. CPK
B. 24hr urine creat
C. SGOT
D. SGPT
Answer:",CPK
"Question: True about Dermatomyositis is?
Choices:
A. Associated with HLA B27
B. Bimodal age distribution
C. No involvement of joints
D. Myopathy precedes skin lesions in most cases
Answer:",Bimodal age distribution
"Question: Common antibody in Polymyositis and Dermatomyositis includes
Choices:
A. SS-7
B. SS-8
C. Anti-aminoacyl-tRNA synthetase
D. Anti hystidyl transfer synthetase
Answer:",Anti-aminoacyl-tRNA synthetase
"Question: All of the following signs are seen in Dermatomyositis except
Choices:
A. Heliotrope sign
B. Gottron sign
C. Dimple sign
D. Shawl sign
Answer:",Dimple sign
"Question: Dracunculosis infection occurs through-
Choices:
A. Ingestion of water containing cyclops
B. Ingestion of water containing the parasite
C. Ingestion of fish
D. Penetration of skin
Answer:",Ingestion of water containing cyclops
"Question: WHO considerations regarding Dracunculosis eradication, all are true except
Choices:
A. DDT
B. Drinking piped water and installation of hand pumps
C. Health education and awareness of public
D. Control of Cyclops
Answer:",DDT
"Question: Dracunculosis is most common in -
Choices:
A. Gujarat
B. Rajasthan
C. Madhya Pradesh
D. Orissa
Answer:",Rajasthan
"Question: Dracunculosis is most common in-
Choices:
A. Gujarat
B. Rajasthan
C. Madhya Pradesh
D. Orissa
Answer:",Rajasthan
"Question: Candidates (s) for global eradication by WHO
a. Malariab. Dracunculosis c. Polio d. Measles e. Chicken pox
Choices:
A. ab
B. abd
C. abc
D. bcd
Answer:",bcd
"Question: Dracunculosis infection occurs through?
Choices:
A. Ingestion of water containing cyclops
B. Ingestion of water containing the parasite
C. Ingestion of fish
D. Penetration of skin
Answer:",Ingestion of water containing cyclops
"Question: Dracunculosis infection occurs through -
Choices:
A. Ingestion of water containing cyclops
B. Ingestion of water containing the parasite
C. Ingestion of fish
D. Penetration of skin
Answer:",Ingestion of water containing cyclops
"Question: Duane syndrome involves
Choices:
A. Superior oblique
B. Inferior oblique
C. Lateral rectus
D. Superior rectus
Answer:",Lateral rectus
"Question: Duchenne Muscular Dystrophy is a disease of:
Choices:
A. Neuromuscular junction
B. Sarcolemmal proteins
C. Muscle contractile proteins
D. Disuse atrophy due to muscle weakness
Answer:",Sarcolemmal proteins
"Question: Duchenne Muscular Dystrophy is a disease of-
Choices:
A. Neuromuscularj unction
B. Sarcolemmal proteins
C. Muscle contractile proteins
D. Disuse atrophy due to muscle weakness
Answer:",Sarcolemmal proteins
"Question: Duchenne Muscular Dystrophy is a disease of –
Choices:
A. Neuromuscular junction
B. Sarcolemmal proteins
C. Muscle contractile proteins
D. Disuse atrophy due to muscle weakness
Answer:",Sarcolemmal proteins
"Question: Simplex type of Epidermolysis Bullosa involves mutations in
Choices:
A. Keratin 5
B. Lamina lucida
C. Type vII collagen
D. Dystrophin
Answer:",Keratin 5
"Question: Epidermolysis Bullosa simplex is because of defect in:
Choices:
A. Collagen 7
B. Keratin 5 and Keratin 14
C. Laminin
D. BP1 and BP2
Answer:",Keratin 5 and Keratin 14
"Question: The minimum number of polyps necessary for a diagnosis of Familial Adenomatous Polyposis (FAP) is:
Choices:
A. 5
B. 10
C. 50
D. 100
Answer:",100
"Question: Inheritance of ""Familial Hypercholesterolemia"" is:
Choices:
A. AD
B. AR
C. X Linked dominant
D. X linked recessive
Answer:",AD
"Question: Which of the following is the inheritance pattern of Familial Hypercholesterolemia?
Choices:
A. Autosomal dominant
B. Autosomal recessive
C. X Linked dominant
D. X Linked recessive
Answer:",Autosomal dominant
"Question: Fetal Hydantoin Syndrome is caused by:
Choices:
A. Phenytoin
B. Alcohol
C. Tetracycline
D. Sodium valproate
Answer:",Phenytoin
"Question: X-rays findings of ""Fibrous Dysplasia"" is:
Choices:
A. Ground glass density
B. Calcifications
C. Coical thickening
D. Bony expansion
Answer:",Ground glass density
"Question: X-rays findings of Fibrous Dysplasia is:
Choices:
A. Ground glass density
B. Calcifications
C. Coical thickening
D. Bony expansion
Answer:",Ground glass density
"Question: In context with Filariasis, all are true except:
Choices:
A. Definitive host is man
B. Worm colonize the lymphatic system
C. Most common causative agent is W. bancrofti
D. Transmitted by Aedes aegypti mosquito
Answer:",Transmitted by Aedes aegypti mosquito
"Question: Filariasis is cuased due to lymphatic obstruction by -
Choices:
A. R vivax
B. V. bancrofti
C. C. sinerses
D. S. hemetabium
Answer:",V. bancrofti
"Question: Culex mosquito is associated with the transmission of-a) Malariab) Filariasisc) Dengued) Japanese encephalitise) Typhus
Choices:
A. c
B. d
C. bd
D. ac
Answer:",bd
"Question: All of the following are helpful for elimination of Filariasis, except -
Choices:
A. Microfilaris do not multiply in vectors
B. They multiply in humans
C. Larvae are deposited on skin surface where they can't survive
D. NOne
Answer:",Larvae are deposited on skin surface where they can't survive
"Question: The Clinical incubation period of Filariasis is
Choices:
A. 10 to 20 days
B. 3 to 6 months
C. 8 to 16 months
D. 6 to 12 months
Answer:",8 to 16 months
"Question: All are true regarding Lymphatic Filariasis except
Choices:
A. Causative agent - Wuchereria bancrofti
B. Intermediate host - Man
C. Main vector in India - Culex quinquefasciatus
D. Most common epidemiological method for detection - thick film preparation
Answer:",Intermediate host - Man
"Question: Filariasis involves
Choices:
A. Only superficial lymphatics
B. Only deep lymphatics
C. Both superficial and deep lymphatics
D. Only skin
Answer:",Only superficial lymphatics
"Question: Treatment for Filariasis is,
Choices:
A. Chloroquin
B. Diethyl Carbamazine
C. Tetracycline
D. Praziquantel
Answer:",Diethyl Carbamazine
"Question: Fox Fordyce Disease effects:
Choices:
A. Sebaceous glands
B. Eccrine Glands
C. Apocrine glands
D. Any gland
Answer:",Apocrine glands
"Question: Classic Galactosemia is due to deficiency of:
Choices:
A. Hexosaminidase
B. Glucocerebroside
C. Sphingomyelinase
D. Galactose-1-Phosphate-Uridyl-Transferase
Answer:",Galactose-1-Phosphate-Uridyl-Transferase
"Question: The MOST common enzyme deficiency responsible for Galactosemia is related to which of the following enzymes?
Choices:
A. UDP galactose epimerase
B. Galactokinase
C. Galactosidase
D. Galactose-l-phosphate uridyl transferase
Answer:",Galactose-l-phosphate uridyl transferase
"Question: What is the type of Galactosemia cataract?
Choices:
A. Snowflake
B. Oil drop
C. Blue dot
D. Polychromaticlustre
Answer:",Oil drop
"Question: Galactosemia is due to deficiency of the following enzymes
Choices:
A. Galactose-1-phosphate uridyl transferase
B. HGPRT
C. Galactokinase
D. Epimerase
Answer:",Galactose-1-phosphate uridyl transferase
"Question: Galactosemia is due to the deficiency of:
Choices:
A. Galactose-1-Phosphatase
B. Glucose-1-Phosphatase
C. Galcatose-1-Phosphate uridyl transferase
D. Glucose-6-Phosphatase
Answer:",Galcatose-1-Phosphate uridyl transferase
"Question: The enzyme deficient in Galactosemia is:-
Choices:
A. Sphingomyelinase
B. Hexosaminidase
C. Galactose 1- phosphate uridyl transferase
D. Glucocerebrosidase
Answer:",Galactose 1- phosphate uridyl transferase
"Question: The enzyme deficient in Galactosemia is:
Choices:
A. Hexoseaminidase B
B. Hexosaminidase A
C. Galactose 1 phosphate uridyltransferase
D. Glucocerebrosidase
Answer:",Galactose 1 phosphate uridyltransferase
"Question: Most common enzyme deficiency responsible for Galactosemia is?
Choices:
A. UDP galactose epimerase
B. Galaktokinase
C. Galactosidase
D. Galactose-l-phosphate uridyl transferase
Answer:",Galactose-l-phosphate uridyl transferase
"Question: Galactosemia commonly is due to deficiency of
Choices:
A. Galactose-1 phosphate uridyl transferase
B. Galactose-1 phosphatase
C. Glucose-1 phosphatase
D. Glucose-6 phosphatase
Answer:",Galactose-1 phosphate uridyl transferase
"Question: Galactosemia enzyme defect:
Choices:
A. Fructokinase
B. Glucokinase
C. Galactose 1 Phosphate Uridyl transferase
D. Glucose 6 Phosphatase
Answer:",Galactose 1 Phosphate Uridyl transferase
"Question: All of the following are true about Galactosemia EXCEPT?
Choices:
A. Galactose 1 phosphate and galactitol have toxic effects on various organs
B. Patients are symptomatic immediately after bih
C. Jaundice and liver dysfunction commonly seen
D. E.coli sepsis is an impoant cause of moality
Answer:",Patients are symptomatic immediately after bih
"Question: All of the following tests can help in the diagnosis of Galactosemia EXCEPT?
Choices:
A. GALT assay
B. Mutation analysis
C. Benedicts test
D. Guthrie's test
Answer:",Guthrie's test
"Question: Intrahepatic cholestasis is seen in – a)  Galactosemiab)  Hypercalcemiac)  Haemoclu–omatosisd)  Cystic fibrosis
Choices:
A. ad
B. c
C. ac
D. ab
Answer:",ad
"Question: Enzyme deficiency in Galactosemia:
Choices:
A. Galactose 1 phosphate uridyl transferase
B. Aldolase B
C. UDP galactose 4 epimerase
D. Fructokinase
Answer:",Galactose 1 phosphate uridyl transferase
"Question: Which of the following agents is recommended for treatment of Gastrointestinal Stromal Tumors (GIST) -
Choices:
A. Sorafenib
B. Imatinib
C. Gefitinib
D. Erlotinib
Answer:",Imatinib
"Question: What is false regarding Gastroschisis & omphalocele:
Choices:
A. Intestinal obstruction is common in gastroschisis
B. Gastroschisis is associated with multiple anamolies
C. Umbilical cord is attached in normal position in gastroschisis
D. Liver is the content of omphalocele
Answer:",Gastroschisis is associated with multiple anamolies
"Question: Gastroschisis is associated with :
Choices:
A. Younger maternal age
B. Maternal obesity
C. Elderly primi
D. Anaemia
Answer:",Younger maternal age
"Question: Regarding Gastroschisis and omphalocele which of the following statement is false?
Choices:
A. Intestinal obstruction is common in Gastroschisis
B. Liver is content of Omphalocele
C. Gastroschisis is associated with multiple anomalies
D. Umbilical cord is attached in normal position in Omphalocele
Answer:",Gastroschisis is associated with multiple anomalies
"Question: TRUE about Gestational Trophoblastic Disease is?
Choices:
A. Most common site of metastasis is vagina
B. Presence of Lung metastasis classifies as stage 4 GTN
C. Liver metastasis carries a poor prognosis similar to brain metastasis
D. GTN following a term pregnancy has a better prognosis than that with previous molar pregnancy
Answer:",Liver metastasis carries a poor prognosis similar to brain metastasis
"Question: The highest incidence of Gestational Trophoblastic Disease is in :
Choices:
A. Australia
B. Asia
C. Noh America
D. Western Europe
Answer:",Asia
"Question: Prognosis of Gestational Trophoblastic Disease depends on all, except :
Choices:
A. Number of living children
B. Blood group
C. Parity
D. Previous HCG titre
Answer:",Number of living children
"Question: Glioblastoma multiforme may occur in the following except -
Choices:
A. Cerebrum of adult
B. Brain stem of child
C. Spinal cord of adult
D. Adrenal medulla of child
Answer:",Adrenal medulla of child
"Question: Glioblastoma multiforme may occur in the following except:
Choices:
A. Cerebrum of adult
B. Brain stem of child
C. Spinal cord of adult
D. Adrenal medulla of child
Answer:",Adrenal medulla of child
"Question: Which of the following is not true about Glioblastoma..
Choices:
A. Also known as Butterfly tumor
B. Frontal lobe of the brain is common location
C. It belongs to WHO grade 3 Astrocytoma
D. Serpentine necrosis and glomeruloid bodies
Answer:",It belongs to WHO grade 3 Astrocytoma
"Question: Which of the following are orbital tumours a) Glioma    b) Lymphoma   c) Chloroma  d) Meningioma  e) Schwannoma
Choices:
A. abcde
B. abd
C. abc
D. acd
Answer:",abcde
"Question: Glioma of optic nerve is associated with ?
Choices:
A. Neurofibromatosis type I
B. Neurofibromatosis type II
C. Both the above
D. None of the above
Answer:",Neurofibromatosis type I
"Question: Glioma of the optic nerve is usually –
Choices:
A. Gemistocytic
B. Pilocytic
C. Fibrillary
D. Lamellar
Answer:",Pilocytic
"Question: Receptor on neural membrane that induces development of Glioma-
Choices:
A. CD133
B. CD33
C. CD48
D. CD44
Answer:",CD133
"Question: Glioma of the optic nerve is associated with -
Choices:
A. Neurofibromatosis type 1
B. Neurofibromatosis type II
C. Both the above
D. None of the above
Answer:",Neurofibromatosis type 1
"Question: All of the following are features of Hemophagocytic Lymphohistiocytosis (HLH), except:
Choices:
A. Fever
B. Splenomegaly
C. Hyperferritinemia
D. Hyperfibrinogenemia
Answer:",Hyperfibrinogenemia
"Question: Patients with 'Hemophilia A' have bleeding disorder because of -
Choices:
A. Lack of platelet aggregation
B. Lack of reaction accelerator during activation of factor X in coagulation cascade
C. Neutralization of antithrombin III
D. Release of Thromboxane A2
Answer:",Lack of reaction accelerator during activation of factor X in coagulation cascade
"Question: Hemophilia A due to deficiency of
Choices:
A. Factor VIII
B. Factor IX
C. Factor X
D. Factr XI
Answer:",Factor VIII
"Question: Which of the following true regarding Hemophilia A
Choices:
A. Serum levels of factor VIII are decreased
B. Deficiency of factor IX
C. PT increased
D. FIT decreased
Answer:",Serum levels of factor VIII are decreased
"Question: Hemophilia A has following except -
Choices:
A. ↓ VIII factor
B. ↑PTT
C. ↑PT
D. Normal BT
Answer:",↑PT
"Question: Bleeding disorder with ↑ a PTT is/are -a) Hemophilia Ab) Hemophilia Bc) Henoch-schonlein purpurad) Bernard-soulier syndromee) Von-Willebrand disease
Choices:
A. abe
B. bcd
C. cde
D. acd
Answer:",abe
"Question: Hemophilia A results due to deficiency of which of the factors:
Choices:
A. II
B. VII
C. VIII
D. XI
Answer:",VIII
"Question: Which of the following is a recently approved monoclonal antibody for treatment of Hemophilia A?
Choices:
A. Emicizumab
B. Sarilumab
C. Abaloparatide
D. Durvalumab
Answer:",Emicizumab
"Question: Type of DCIS Which of the following true regarding Hemophilia A?
Choices:
A. Serum levels of factor VIII are decreased
B. Deficiency of factor IX
C. PT increased
D. PPT decreased
Answer:",Serum levels of factor VIII are decreased
"Question: Hemophilia A is caused due to deficiency of
Choices:
A. Factor X
B. Factor XI
C. Factor IX
D. Factor VIII
Answer:",Factor VIII
"Question: The most common manifestation of moderate /severe Hemophilia A is:
Choices:
A. Recurrent Hemahrosis
B. Recurrent muscle bleeding
C. Recurrent bleeding from gums
D. Recurrent Hematuria
Answer:",Recurrent Hemahrosis
"Question: Hemophilia A has increased:
Choices:
A. PT
B. PTT
C. PT & PTT
D. None
Answer:",PTT
"Question: Hemophilia B is deficiency of which factor:September 2007
Choices:
A. IX
B. XII
C. VIII
D. X
Answer:",IX
"Question: Hemophilia B is due to deficiency of -
Choices:
A. Factor VIII
B. Factor VII
C. Factor IX
D. factor X
Answer:",Factor IX
"Question: Hemophilia B is due to deficiency of:
Choices:
A. Factor VIII
B. Factor VII
C. Factor IX
D. Factor X
Answer:",Factor IX
"Question: In Hemophilia B what is most common cause of death?
Choices:
A. Hemorrhage
B. HIV, HBV, HCV due to transfusions
C. Transfusion reactions
D. Deep vein thrombosis
Answer:",Hemorrhage
"Question: Hemophilia B is due to deficiency of-
Choices:
A. Factor VIII
B. Factor VII
C. Factor IX
D. factor X
Answer:",Factor IX
"Question: Hemophilia B is due to:
Choices:
A. Factor VII deficiency
B. Factor IX deficiency
C. Platelet deficiency
D. Vit C deficiency
Answer:",Factor IX deficiency
"Question: Hemophilia B is deficiency of which factor: September 2007
Choices:
A. IX
B. XII
C. VIII
D. X
Answer:",IX
"Question: Hepatic Encephalopathy is predisposed by all, Except:
Choices:
A. Hyperkalemia
B. Dehydration
C. Constipation
D. GI Bleeding
Answer:",Hyperkalemia
